,x,y
0,9.751088,8.099382
1,2.2442076,12.152961
2,3.468305,7.8763185
3,2.8791564,7.983899
4,2.736448,7.7846766
5,13.854601,8.395392
6,8.205403,9.641004
7,13.010039,9.498938
8,7.8083754,6.2841253
9,8.2085085,12.390746
10,5.5527396,11.55267
11,5.4810753,11.549017
12,-0.41257474,7.9609146
13,6.5225067,9.941799
14,-2.8854718,9.338045
15,6.479535,9.976881
16,12.253644,7.6694098
17,5.7881293,10.48527
18,13.80383,7.8366427
19,8.093667,9.635668
20,6.628122,11.637126
21,3.9268124,12.309705
22,3.5357125,11.5084095
23,7.8632283,10.881913
24,5.7953396,12.424703
25,4.507917,10.528476
26,12.6156225,10.56993
27,4.2906322,8.661631
28,-2.5810616,8.873354
29,-3.0635583,8.902293
30,-2.5664806,8.857278
31,0.91068035,9.688866
32,1.0818534,9.302266
33,-1.7712793,10.080122
34,7.7950926,10.804389
35,8.206429,12.356143
36,5.1693134,10.846419
37,3.858542,11.89757
38,2.2383034,11.167359
39,3.6652408,13.892935
40,10.550503,12.301038
41,9.104875,12.071875
42,3.5140793,13.115446
43,8.04401,12.399023
44,7.3019476,6.7416296
45,10.158805,8.61793
46,-0.68005246,8.758857
47,9.683049,11.107389
48,1.4853978,11.372623
49,7.967624,10.946364
50,13.394374,8.495293
51,3.8966863,6.177076
52,13.678875,8.824316
53,3.0639293,12.459419
54,8.385856,7.183002
55,-0.18854558,7.5131493
56,9.569098,10.581833
57,8.921527,10.226762
58,3.8661149,8.03076
59,3.0414174,8.663905
60,3.0459085,6.989363
61,9.316289,7.253307
62,5.2722125,7.998864
63,11.020359,6.251169
64,10.750799,11.795459
65,4.66862,11.542726
66,11.33168,9.434479
67,1.9483663,6.3070235
68,0.08870744,7.3296275
69,1.5314662,6.323788
70,1.7632141,5.6950736
71,5.487667,7.2407665
72,0.032996703,7.7506638
73,11.074086,5.919505
74,1.936042,10.661152
75,9.223454,6.9243636
76,2.0910168,11.60931
77,8.439684,11.272639
78,2.716631,10.462013
79,5.148762,8.285165
80,9.5472145,6.586562
81,5.988125,11.981612
82,9.280513,10.852549
83,13.505111,7.5774856
84,8.530614,10.174341
85,6.964609,11.3357935
86,4.079391,12.818832
87,11.084481,7.8136578
88,1.7499692,5.444108
89,7.24508,12.353821
90,5.3466687,12.7758875
91,1.6514983,7.411138
92,5.433265,13.017958
93,9.569681,5.749113
94,1.3946719,9.789975
95,-1.7131737,9.767428
96,1.6229298,9.664936
97,9.677988,10.598203
98,1.6607813,6.3503346
99,3.977655,12.648097
100,5.0361085,10.674458
101,13.317535,7.563102
102,6.026606,12.411121
103,12.927886,7.8571277
104,10.161042,10.351826
105,7.2556043,6.465486
106,2.2241569,11.856331
107,9.368534,5.7483993
108,4.378867,8.818491
109,9.641333,7.9978685
110,7.5919943,10.635723
111,6.2894297,11.471136
112,4.382883,11.063294
113,10.714373,9.5568075
114,10.060318,9.939154
115,2.9541326,11.160624
116,1.9725598,9.938351
117,-0.16946644,10.246538
118,6.7548175,10.429323
119,4.649913,8.357794
120,8.488405,7.251233
121,7.698311,7.0352592
122,8.4906225,12.331113
123,2.2976158,7.7328153
124,13.031371,10.146032
125,9.645051,9.783164
126,8.836954,7.5129657
127,2.5289986,7.7491283
128,8.61133,6.108393
129,8.243117,6.1890345
130,10.870337,10.119503
131,-0.9617559,7.2567987
132,8.712933,9.539147
133,7.4773717,7.0889053
134,12.15791,10.024723
135,6.952827,13.373033
136,9.77985,11.518169
137,6.617319,6.541276
138,4.165845,7.905753
139,4.908665,6.267801
140,3.6671762,12.896045
141,12.128658,8.684437
142,1.3278323,7.7771606
143,4.0351434,11.006829
144,9.576475,12.226024
145,9.379998,9.373215
146,6.949891,10.696162
147,11.57035,10.007147
148,-0.5854487,10.386542
149,11.538709,9.975473
150,1.5421863,11.992619
151,-1.0311878,7.8548145
152,2.60029,8.3850765
153,8.442242,12.185791
154,5.904277,7.912786
155,7.3671365,11.188289
156,7.710281,9.550409
157,10.476787,10.885095
158,10.875665,5.8896904
159,11.540974,9.160794
160,4.625976,11.68053
161,1.7058886,7.2699265
162,1.1533421,9.558514
163,1.1355593,9.018123
164,7.827795,11.175175
165,4.8389463,8.533496
166,6.2655473,9.9243355
167,7.4082036,7.2858124
168,0.3461662,9.761152
169,7.149743,11.147679
170,8.480216,6.559291
171,11.783339,10.808646
172,11.543984,10.403913
173,5.2075624,8.4249325
174,2.6917458,13.761575
175,2.72878,13.814253
176,-0.5434927,6.6194286
177,7.4622674,7.604406
178,7.990092,6.69483
179,-0.03907535,6.9973216
180,7.5583324,6.0834327
181,5.3592706,13.687222
182,12.975848,7.6819315
183,2.1750937,11.142858
184,1.3806647,7.679314
185,8.894314,5.9885125
186,1.6914777,11.350803
187,2.717465,11.478995
188,-0.96983886,7.330749
189,2.311283,12.145393
190,11.412895,6.0673914
191,6.8467174,12.806984
192,10.202666,6.90302
193,3.3880675,12.753176
194,6.785948,11.300452
195,3.3366375,12.53197
196,13.082684,8.491939
197,9.580054,11.018626
198,3.44184,11.078264
199,5.6235933,14.017742
200,0.9318065,11.96999
201,5.4259224,14.13808
202,10.413538,6.5133677
203,12.630666,9.9719095
204,5.960951,7.6418076
205,7.1992426,11.362686
206,4.9237156,10.7141285
207,10.1234455,10.633051
208,6.1754518,10.552648
209,1.5531955,9.709206
210,5.9531074,10.798681
211,0.7363999,9.398158
212,2.4686177,7.568151
213,12.376473,8.223904
214,1.4275789,9.361308
215,2.9349456,6.9086
216,5.7973356,11.354572
217,10.337556,7.472061
218,10.963721,7.595673
